produto;sexo;idade_entrada;breakeven_exibido;breakeven_real;regra;resgate_10a_por_1mm;aportes_10a_por_1mm;pct_do_aportado
MAG_WL_INTEGRAL_10;M;65;;;CALCULADO;738244.55;827339.60;89.23
MAG_WL_INTEGRAL_10;M;66;;;CALCULADO;748816.60;844394.20;88.68
MAG_WL_INTEGRAL_10;M;67;;;CALCULADO;759272.92;860275.80;88.26
MAG_WL_INTEGRAL_10;M;68;;;CALCULADO;769574.16;874881.00;87.96
MAG_WL_INTEGRAL_10;M;69;;;CALCULADO;779582.36;887409.60;87.85
MAG_WL_INTEGRAL_10;M;70;;;CALCULADO;789578.92;897675.70;87.96
MAG_WL_INTEGRAL_10;M;71;;;CALCULADO;799216.39;922300.80;86.65
MAG_WL_INTEGRAL_10;M;72;;;CALCULADO;808575.80;948136.80;85.28
MAG_WL_INTEGRAL_10;M;73;;;CALCULADO;817553.95;974876.20;83.86
MAG_WL_INTEGRAL_10;M;74;;;CALCULADO;826356.21;1002488.30;82.43
MAG_WL_INTEGRAL_10;M;75;;;CALCULADO;834972.40;1031413.50;80.95
MAG_WL_INTEGRAL_10;M;76;;;CALCULADO;843096.47;1063380.70;79.28
MAG_WL_INTEGRAL_10;M;77;;;CALCULADO;850898.86;1097815.90;77.51
MAG_WL_INTEGRAL_10;M;78;;;CALCULADO;858119.79;1134889.70;75.61
MAG_WL_INTEGRAL_10;M;79;;;CALCULADO;865141.63;1174215.70;73.68
MAG_WL_INTEGRAL_10;M;80;;;CALCULADO;871512.28;1218058.40;71.55
METLIFE_VIDA_TOTAL_10;F;18;10;10;FIXO;250782.48;243434.10;103.02
METLIFE_VIDA_TOTAL_10;F;19;10;10;FIXO;257412.08;249775.00;103.06
METLIFE_VIDA_TOTAL_10;F;20;10;10;FIXO;264218.58;256280.00;103.10
METLIFE_VIDA_TOTAL_10;F;21;10;10;FIXO;271215.50;262967.60;103.14
METLIFE_VIDA_TOTAL_10;F;22;10;10;FIXO;278401.84;269844.10;103.17
METLIFE_VIDA_TOTAL_10;F;23;10;10;FIXO;285784.13;276929.00;103.20
METLIFE_VIDA_TOTAL_10;F;24;10;10;FIXO;293361.89;284217.10;103.22
METLIFE_VIDA_TOTAL_10;F;25;10;10;FIXO;301134.89;291716.10;103.23
METLIFE_VIDA_TOTAL_10;F;26;10;10;FIXO;309103.13;299467.00;103.22
METLIFE_VIDA_TOTAL_10;F;27;10;10;FIXO;317252.97;307401.00;103.20
METLIFE_VIDA_TOTAL_10;F;28;10;10;FIXO;325577.98;315572.30;103.17
METLIFE_VIDA_TOTAL_10;F;29;10;10;FIXO;334078.93;323979.50;103.12
METLIFE_VIDA_TOTAL_10;F;30;10;10;FIXO;342756.95;335228.10;102.25
METLIFE_VIDA_TOTAL_10;F;31;10;10;FIXO;351600.23;344236.20;102.14
METLIFE_VIDA_TOTAL_10;F;32;10;10;FIXO;360610.59;353469.80;102.02
METLIFE_VIDA_TOTAL_10;F;33;10;10;FIXO;369796.71;362980.40;101.88
METLIFE_VIDA_TOTAL_10;F;34;10;10;FIXO;379167.69;368780.80;102.82
METLIFE_VIDA_TOTAL_10;F;35;10;10;FIXO;388733.00;370689.50;104.87
METLIFE_VIDA_TOTAL_10;F;36;10;10;FIXO;398490.18;376734.20;105.77
METLIFE_VIDA_TOTAL_10;F;37;10;10;FIXO;408443.47;386956.40;105.55
METLIFE_VIDA_TOTAL_10;F;38;10;10;FIXO;418591.68;397425.90;105.33
METLIFE_VIDA_TOTAL_10;F;39;10;10;FIXO;428940.23;408146.30;105.09
METLIFE_VIDA_TOTAL_10;F;40;10;10;FIXO;439483.61;417266.40;105.32
METLIFE_VIDA_TOTAL_10;F;41;10;10;FIXO;450217.24;428426.50;105.09
METLIFE_VIDA_TOTAL_10;F;42;10;10;FIXO;461137.51;439825.20;104.85
METLIFE_VIDA_TOTAL_10;F;43;10;10;FIXO;472230.96;451481.20;104.60
