produto;sexo;idade;taxa_anual_por_1mm;capital_max;fonte;origem
ICATU_HORIZONTE_WL10;F;67;85812.004383;;PDF;ICATU\MULHER\ICATU - MULHER - 67 ANOS.pdf
ICATU_HORIZONTE_WL10;F;68;88317.772465;;PDF;ICATU\MULHER\ICATU - MULHER - 68 ANOS.pdf
ICATU_HORIZONTE_WL10;F;69;91003.277545;;PDF;ICATU\MULHER\ICATU - MULHER - 69 ANOS.pdf
ICATU_HORIZONTE_WL10;F;70;93904.981072;;PDF;ICATU\MULHER\ICATU - MULHER - 70 ANOS.pdf
ICATU_HORIZONTE_WL10;F;71;97051.065949;;PDF;ICATU\MULHER\ICATU - MULHER - 71 ANOS.pdf
ICATU_HORIZONTE_WL10;F;72;100458.686989;;PDF;ICATU\MULHER\ICATU - MULHER - 72 ANOS.pdf
ICATU_HORIZONTE_WL10;F;73;104131.530185;;PDF;ICATU\MULHER\ICATU - MULHER - 73 ANOS.pdf
ICATU_HORIZONTE_WL10;F;74;108068.041443;;PDF;ICATU\MULHER\ICATU - MULHER - 74 ANOS.pdf
ICATU_HORIZONTE_WL10;F;75;112275.393505;;PDF;ICATU\MULHER\ICATU - MULHER - 75 ANOS.pdf
ICATU_HORIZONTE_WL10;M;18;27780.952381;;PDF;ICATU\HOMEM\ICATU - HOMEM - 18 ANOS.pdf
ICATU_HORIZONTE_WL10;M;19;28443.365212;;PDF;ICATU\HOMEM\ICATU - HOMEM - 19 ANOS.pdf
ICATU_HORIZONTE_WL10;M;20;29116.696553;;PDF;ICATU\HOMEM\ICATU - HOMEM - 20 ANOS.pdf
ICATU_HORIZONTE_WL10;M;21;29806.066946;;PDF;ICATU\HOMEM\ICATU - HOMEM - 21 ANOS.pdf
ICATU_HORIZONTE_WL10;M;22;30515.630604;;PDF;ICATU\HOMEM\ICATU - HOMEM - 22 ANOS.pdf
ICATU_HORIZONTE_WL10;M;23;31249.850568;;PDF;ICATU\HOMEM\ICATU - HOMEM - 23 ANOS.pdf
ICATU_HORIZONTE_WL10;M;24;32010.948396;;PDF;ICATU\HOMEM\ICATU - HOMEM - 24 ANOS.pdf
ICATU_HORIZONTE_WL10;M;25;32801.334927;;PDF;ICATU\HOMEM\ICATU - HOMEM - 25 ANOS.pdf
ICATU_HORIZONTE_WL10;M;26;33623.620243;;PDF;ICATU\HOMEM\ICATU - HOMEM - 26 ANOS.pdf
ICATU_HORIZONTE_WL10;M;27;34478.123132;;PDF;ICATU\HOMEM\ICATU - HOMEM - 27 ANOS.pdf
ICATU_HORIZONTE_WL10;M;28;35363.996812;;PDF;ICATU\HOMEM\ICATU - HOMEM - 28 ANOS.pdf
ICATU_HORIZONTE_WL10;M;29;36281.689580;;PDF;ICATU\HOMEM\ICATU - HOMEM - 29 ANOS.pdf
ICATU_HORIZONTE_WL10;M;30;37230.533971;;PDF;ICATU\HOMEM\ICATU - HOMEM - 30 ANOS.pdf
ICATU_HORIZONTE_WL10;M;31;38211.147639;;PDF;ICATU\HOMEM\ICATU - HOMEM - 31 ANOS.pdf
ICATU_HORIZONTE_WL10;M;32;39221.797171;;PDF;ICATU\HOMEM\ICATU - HOMEM - 32 ANOS.pdf
ICATU_HORIZONTE_WL10;M;33;40264.534768;;PDF;ICATU\HOMEM\ICATU - HOMEM - 33 ANOS.pdf
ICATU_HORIZONTE_WL10;M;34;41337.826260;;PDF;ICATU\HOMEM\ICATU - HOMEM - 34 ANOS.pdf
ICATU_HORIZONTE_WL10;M;35;42442.697749;;PDF;ICATU\HOMEM\ICATU - HOMEM - 35 ANOS.pdf
ICATU_HORIZONTE_WL10;M;36;43579.039649;;PDF;ICATU\HOMEM\ICATU - HOMEM - 36 ANOS.pdf
ICATU_HORIZONTE_WL10;M;37;44746.931660;;PDF;ICATU\HOMEM\ICATU - HOMEM - 37 ANOS.pdf
ICATU_HORIZONTE_WL10;M;38;45945.248057;;PDF;ICATU\HOMEM\ICATU - HOMEM - 38 ANOS.pdf
ICATU_HORIZONTE_WL10;M;39;47174.168161;;PDF;ICATU\HOMEM\ICATU - HOMEM - 39 ANOS.pdf
ICATU_HORIZONTE_WL10;M;40;48432.725643;;PDF;ICATU\HOMEM\ICATU - HOMEM - 40 ANOS.pdf
ICATU_HORIZONTE_WL10;M;41;49721.348874;;PDF;ICATU\HOMEM\ICATU - HOMEM - 41 ANOS.pdf
ICATU_HORIZONTE_WL10;M;42;51038.125125;;PDF;ICATU\HOMEM\ICATU - HOMEM - 42 ANOS.pdf
ICATU_HORIZONTE_WL10;M;43;52386.441522;;PDF;ICATU\HOMEM\ICATU - HOMEM - 43 ANOS.pdf
ICATU_HORIZONTE_WL10;M;44;53765.222156;;PDF;ICATU\HOMEM\ICATU - HOMEM - 44 ANOS.pdf
ICATU_HORIZONTE_WL10;M;45;55177.585176;;PDF;ICATU\HOMEM\ICATU - HOMEM - 45 ANOS.pdf
ICATU_HORIZONTE_WL10;M;46;56623.570432;;PDF;ICATU\HOMEM\ICATU - HOMEM - 46 ANOS.pdf
ICATU_HORIZONTE_WL10;M;47;58107.381949;;PDF;ICATU\HOMEM\ICATU - HOMEM - 47 ANOS.pdf
ICATU_HORIZONTE_WL10;M;48;59631.500299;;PDF;ICATU\HOMEM\ICATU - HOMEM - 48 ANOS.pdf
ICATU_HORIZONTE_WL10;M;49;61200.149432;;PDF;ICATU\HOMEM\ICATU - HOMEM - 49 ANOS.pdf
ICATU_HORIZONTE_WL10;M;50;62814.465033;;PDF;ICATU\HOMEM\ICATU - HOMEM - 50 ANOS.pdf
ICATU_HORIZONTE_WL10;M;51;64478.760709;;PDF;ICATU\HOMEM\ICATU - HOMEM - 51 ANOS.pdf
ICATU_HORIZONTE_WL10;M;52;66190.675433;;PDF;ICATU\HOMEM\ICATU - HOMEM - 52 ANOS.pdf
ICATU_HORIZONTE_WL10;M;53;67951.006177;;PDF;ICATU\HOMEM\ICATU - HOMEM - 53 ANOS.pdf
ICATU_HORIZONTE_WL10;M;54;69759.075513;;PDF;ICATU\HOMEM\ICATU - HOMEM - 54 ANOS.pdf
ICATU_HORIZONTE_WL10;M;55;71613.976888;;PDF;ICATU\HOMEM\ICATU - HOMEM - 55 ANOS.pdf
ICATU_HORIZONTE_WL10;M;56;73521.159594;;PDF;ICATU\HOMEM\ICATU - HOMEM - 56 ANOS.pdf
ICATU_HORIZONTE_WL10;M;57;75485.086671;;PDF;ICATU\HOMEM\ICATU - HOMEM - 57 ANOS.pdf
ICATU_HORIZONTE_WL10;M;58;77516.925682;;PDF;ICATU\HOMEM\ICATU - HOMEM - 58 ANOS.pdf
ICATU_HORIZONTE_WL10;M;59;79626.001195;;PDF;ICATU\HOMEM\ICATU - HOMEM - 59 ANOS.pdf
ICATU_HORIZONTE_WL10;M;60;81822.285316;;PDF;ICATU\HOMEM\ICATU - HOMEM - 60 ANOS.pdf
ICATU_HORIZONTE_WL10;M;61;84111.476390;;PDF;ICATU\HOMEM\ICATU - HOMEM - 61 ANOS.pdf
ICATU_HORIZONTE_WL10;M;62;86499.282726;;PDF;ICATU\HOMEM\ICATU - HOMEM - 62 ANOS.pdf
ICATU_HORIZONTE_WL10;M;63;88989.141263;;PDF;ICATU\HOMEM\ICATU - HOMEM - 63 ANOS.pdf
ICATU_HORIZONTE_WL10;M;64;91583.871289;;PDF;ICATU\HOMEM\ICATU - HOMEM - 64 ANOS.pdf
ICATU_HORIZONTE_WL10;M;65;94291.581988;;PDF;ICATU\HOMEM\ICATU - HOMEM - 65 ANOS.pdf
ICATU_HORIZONTE_WL10;M;66;97125.851763;;PDF;ICATU\HOMEM\ICATU - HOMEM - 66 ANOS.pdf
ICATU_HORIZONTE_WL10;M;67;100111.576011;;PDF;ICATU\HOMEM\ICATU - HOMEM - 67 ANOS.pdf
ICATU_HORIZONTE_WL10;M;68;103277.445706;;PDF;ICATU\HOMEM\ICATU - HOMEM - 68 ANOS.pdf
ICATU_HORIZONTE_WL10;M;69;106657.571229;;PDF;ICATU\HOMEM\ICATU - HOMEM - 69 ANOS.pdf
ICATU_HORIZONTE_WL10;M;70;110281.659693;;PDF;ICATU\HOMEM\ICATU - HOMEM - 70 ANOS.pdf
ICATU_HORIZONTE_WL10;M;71;114166.009165;;PDF;ICATU\HOMEM\ICATU - HOMEM - 71 ANOS.pdf
ICATU_HORIZONTE_WL10;M;72;118318.360231;;PDF;ICATU\HOMEM\ICATU - HOMEM - 72 ANOS.pdf
ICATU_HORIZONTE_WL10;M;73;122733.333333;;PDF;ICATU\HOMEM\ICATU - HOMEM - 73 ANOS.pdf
ICATU_HORIZONTE_WL10;M;74;127394.969117;;PDF;ICATU\HOMEM\ICATU - HOMEM - 74 ANOS.pdf
ICATU_HORIZONTE_WL10;M;75;132300.537956;;PDF;ICATU\HOMEM\ICATU - HOMEM - 75 ANOS.pdf
