seguradora;produto;produto_pdf;sexo;idade;capital;premio_anual_sem_iof;premio_anual_com_iof;premio_mensal;anos_pagamento;data_cotacao;arquivo
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;51;1000000.0;56814.32;;4814.69;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 51 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;52;1000000.0;58256.9;;4938.01;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 52 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;53;1000000.0;59730.35;;5064.09;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 53 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;54;1000000.0;61231.68;;5192.72;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 54 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;55;1000000.0;62765.31;;5324.32;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 55 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;56;1000000.0;64335.68;;5459.31;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 56 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;57;1000000.0;65950.91;;5598.4;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 57 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;58;1000000.0;67622.97;;5742.66;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 58 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;59;1000000.0;69365.21;;5893.26;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 59 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;60;1000000.0;71185.81;;6050.95;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 60 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;61;1000000.0;73090.55;;6216.29;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 61 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;62;1000000.0;75077.99;;6389.25;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 62 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;63;1000000.0;77143.37;;6569.56;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 63 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;64;1000000.0;79276.41;;6756.47;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 64 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;65;1000000.0;81477.16;;6950.14;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 65 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;66;1000000.0;83757.23;;7151.74;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 66 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;67;1000000.0;86138.09;;7363.29;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 67 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;68;1000000.0;88653.38;;7587.9;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 68 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;69;1000000.0;91349.09;;7829.8;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 69 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;70;1000000.0;94261.82;;8092.45;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 70 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;71;1000000.0;97419.86;;8378.7;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 71 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;72;1000000.0;100840.43;;8690.49;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 72 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;73;1000000.0;104527.23;;9028.62;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 73 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;74;1000000.0;108478.7;;9393.5;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 74 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;75;1000000.0;112702.04;;9786.29;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 75 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;18;1000000.0;27886.52;;2357.45;10;13/01/2026;ICATU\HOMEM\ICATU - HOMEM - 18 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;19;1000000.0;28551.45;;2413.66;10;13/01/2026;ICATU\HOMEM\ICATU - HOMEM - 19 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;20;1000000.0;29227.34;;2470.78;10;13/01/2026;ICATU\HOMEM\ICATU - HOMEM - 20 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;21;1000000.0;29919.33;;2529.26;10;13/01/2026;ICATU\HOMEM\ICATU - HOMEM - 21 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;22;1000000.0;30631.59;;2589.45;10;13/01/2026;ICATU\HOMEM\ICATU - HOMEM - 22 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;23;1000000.0;31368.6;;2651.74;10;13/01/2026;ICATU\HOMEM\ICATU - HOMEM - 23 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;24;1000000.0;32132.59;;2716.33;10;13/01/2026;ICATU\HOMEM\ICATU - HOMEM - 24 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;25;1000000.0;32925.98;;2783.42;10;13/01/2026;ICATU\HOMEM\ICATU - HOMEM - 25 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;26;1000000.0;33751.39;;2853.23;10;13/01/2026;ICATU\HOMEM\ICATU - HOMEM - 26 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;27;1000000.0;34609.14;;2925.8;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 27 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;28;1000000.0;35498.38;;3001.07;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 28 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;29;1000000.0;36419.56;;3079.06;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 29 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;30;1000000.0;37372.01;;3159.73;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 30 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;31;1000000.0;38356.35;;3243.14;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 31 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;32;1000000.0;39370.84;;3329.14;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 32 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;33;1000000.0;40417.54;;3417.9;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 33 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;34;1000000.0;41494.91;;3509.31;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 34 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;35;1000000.0;42603.98;;3603.46;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 35 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;36;1000000.0;43744.64;;3700.34;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 36 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;37;1000000.0;44916.97;;3799.96;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 37 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;38;1000000.0;46119.84;;3902.22;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 38 ANOS.pdf
